# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2113
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
da kai 	打开	c=1 d=0.0104099 t=2113
da shu 	大书	c=1 d=0.100761 t=2113
da si 	打死	c=2 d=0.0848445 t=2113
da wan 	打完	c=1 d=0.0206508 t=2113
da xia 	大虾	c=1 d=0.0256042 t=2113
da xue 	大雪	c=1 d=0.57695 t=2113
da yin 	打印	c=1 d=0.477114 t=2113
dai lai 	带来	c=1 d=0.178173 t=2113
dan 	单	c=0 d=0.016696 t=2113
dan 	淡	c=1 d=0.0250972 t=2113
dan 	蛋	c=0 d=0.00256042 t=2113
dan ci 	单词	c=1 d=0.628135 t=2113
dang 	党	c=0 d=0.00434998 t=2113
dang ran 	当然	c=1 d=0.100761 t=2113
dao 	到	c=10 d=0.557265 t=2113
dao guo 	岛国	c=1 d=0.0780817 t=2113
dao shi hou 	到时候	c=1 d=0.737123 t=2113
dao zui hou 	到最后	c=1 d=0.856415 t=2113
de 	的	c=85 d=8.32616 t=2113
dei 	得	c=1 d=0.219808 t=2113
deng 	等	c=1 d=0.0263839 t=2113
deng ji 	等级	c=1 d=0.0137736 t=2113
deng zhe 	等着	c=1 d=0.10383 t=2113
di 	第	c=1 d=0.599665 t=2113
di 	递	c=0 d=0.0232236 t=2113
di er tian 	第二天	c=1 d=0.189191 t=2113
di fang 	地方	c=2 d=1.29848 t=2113
di shang qu 	递上去	c=1 d=0.2334 t=2113
di yi ci 	第一次	c=1 d=0.337902 t=2113
di yi ge 	第一个	c=1 d=0.647265 t=2113
di yu 	地狱	c=2 d=0.190292 t=2113
dian 	店	c=1 d=0.0203434 t=2113
dian 	点	c=5 d=0.215687 t=2113
dian 	电	c=1 d=0.0706512 t=2113
dian nao 	电脑	c=2 d=0.0198529 t=2113
dian yuan 	店员	c=1 d=0.0096577 t=2113
dian zi 	电子	c=1 d=0.010889 t=2113
diao 	掉	c=2 d=0.241047 t=2113
diao xian 	掉线	c=1 d=0.0800583 t=2113
ding 	定	c=1 d=0.0800583 t=2113
ding 	顶	c=0 d=0.00150707 t=2113
ding zhi 	定制	c=0 d=0.0205975 t=2113
dong cheng 	冻成	c=1 d=0.722527 t=2113
dong shou 	动手	c=1 d=0.0605068 t=2113
dong si 	冻死	c=1 d=0.697676 t=2113
dong xi 	东西	c=1 d=0.0109985 t=2113
dou 	都	c=22 d=2.79606 t=2113
dou ban 	豆瓣	c=1 d=0.00937227 t=2113
dou jiang 	都将	c=0 d=0.01764 t=2113
dou jiang shi 	都将是	c=1 d=0.177284 t=2113
dou mei 	抖妹	c=1 d=0.0174224 t=2113
dou shi 	都是	c=2 d=0.0463072 t=2113
dou zheng 	斗争	c=1 d=0.444858 t=2113
du 	度	c=2 d=1.59233 t=2113
dui 	对	c=1 d=0.174645 t=2113
dui mian 	对面	c=1 d=0.128093 t=2113
duo 	多	c=5 d=0.160412 t=2113
duo bing 	多病	c=1 d=0.188247 t=2113
duo chou shan gan 	多愁善感	c=1 d=0.0111647 t=2113
duo chuan 	多穿	c=1 d=0.822835 t=2113
duo shao 	多少	c=3 d=0.142805 t=2113
e 	额	c=7 d=0.215663 t=2113
e lie 	恶劣	c=3 d=0.258517 t=2113
e sha 	扼杀	c=1 d=0.15259 t=2113
ei 	诶	c=1 d=0.0120946 t=2113
en ai 	恩爱	c=0 d=0.00218184 t=2113
en zuo si 	恩佐斯	c=1 d=0.0184074 t=2113
er qie 	而且	c=3 d=0.882497 t=2113
fa 	发	c=3 d=0.31133 t=2113
fa 	法	c=1 d=0.0261214 t=2113
fa huo 	发货	c=3 d=0.14808 t=2113
fa xian 	发现	c=2 d=0.0711457 t=2113
fan 	反	c=1 d=0.0599047 t=2113
fan fa 	犯法	c=1 d=0.366045 t=2113
fan ti zi 	繁体字	c=1 d=0.0105672 t=2113
fan zheng 	反正	c=1 d=0.197899 t=2113
fan zui 	犯罪	c=2 d=0.554352 t=2113
fang bian 	方便	c=0 d=0.00108347 t=2113
fang bian dian 	方便点	c=1 d=0.010889 t=2113
fang bu sheng fang 	防不胜防	c=1 d=0.0617291 t=2113
fang zhe 	放着	c=1 d=0.102797 t=2113
fei 	飞	c=3 d=0.134269 t=2113
fei jin 	费劲	c=1 d=0.020141 t=2113
fei ya 	飞丫	c=1 d=0.0466538 t=2113
feng huang 	凤凰	c=0 d=0.00134335 t=2113
feng huang nv 	凤凰女	c=1 d=0.0135009 t=2113
feng yi 	风衣	c=1 d=0.0119145 t=2113
fu he 	符合	c=1 d=0.0192547 t=2113
fu lu 	俘虏	c=2 d=0.0270518 t=2113
gai 	该	c=1 d=0.327915 t=2113
gan 	干	c=6 d=1.80141 t=2113
gan ga 	尴尬	c=1 d=0.481909 t=2113
gan jue 	感觉	c=4 d=1.51128 t=2113
gan ma 	干嘛	c=2 d=0.0476393 t=2113
gan shou 	感受	c=0 d=0.070822 t=2113
gan shou gan shou 	感受感受	c=1 d=0.71177 t=2113
gang 	刚	c=2 d=0.860708 t=2113
gao 	搞	c=3 d=0.818731 t=2113
gao ji 	搞基	c=1 d=0.0291588 t=2113
ge 	个	c=10 d=0.944281 t=2113
ge ba 	个把	c=1 d=0.0578443 t=2113
gei 	给	c=6 d=1.03874 t=2113
gei ni 	给你	c=1 d=0.486752 t=2113
gen 	根	c=0 d=0.0318224 t=2113
gen 	跟	c=8 d=2.18337 t=2113
gen ben 	根本	c=1 d=0.0468877 t=2113
gen wo 	跟我	c=2 d=0.148214 t=2113
gen zhe 	跟着	c=1 d=0.249075 t=2113
gong zi 	工资	c=1 d=0.00975476 t=2113
gou 	够	c=2 d=0.506637 t=2113
gou xue 	狗血	c=1 d=0.0224829 t=2113
gu ji 	估计	c=3 d=1.18778 t=2113
gu lan jing 	古兰经	c=1 d=0.0115047 t=2113
gua 	挂	c=1 d=0.079659 t=2113
gua ke 	挂科	c=1 d=0.0792617 t=2113
guan 	管	c=1 d=0.203926 t=2113
guan diao 	关掉	c=1 d=0.00975476 t=2113
guan li 	管理	c=3 d=0.0468539 t=2113
guan xi 	关系	c=1 d=0.557106 t=2113
guan zhu 	关注	c=2 d=0.021194 t=2113
guang gao 	广告	c=2 d=1.00159 t=2113
guang zhou 	广州	c=2 d=1.97045 t=2104
gui 	归	c=0 d=0.0318224 t=2113
gui 	贵	c=1 d=0.117655 t=2113
gui 	鬼	c=1 d=0.339596 t=2113
guo 	过	c=4 d=1.02057 t=2113
guo lai 	过来	c=1 d=0.0439369 t=2113
guo qu 	过去	c=1 d=0.0273237 t=2113
guo ran 	果然	c=1 d=0.918512 t=2113
guo wai 	国外	c=1 d=0.0153752 t=2113
hai 	还	c=18 d=3.32101 t=2113
hai shi 	还是	c=7 d=1.73967 t=2113
hai shuo 	还说	c=2 d=0.325633 t=2113
hai you 	还有	c=1 d=0.173774 t=2113
hai zei wang 	海贼王	c=1 d=0.0298969 t=2113
han hu 	含糊	c=1 d=0.913931 t=2113
hang 	行	c=1 d=0.782705 t=2113
hang ban 	航班	c=1 d=0.588605 t=2113
hao 	号	c=2 d=0.244415 t=2113
hao 	好	c=8 d=1.97224 t=2113
hao ba 	好吧	c=1 d=0.0385808 t=2113
hao duo 	好多	c=2 d=0.0550589 t=2113
hao hao 	好好	c=1 d=0.70822 t=2113
hao jie 	浩劫	c=1 d=0.180866 t=2113
hao qiao 	好巧	c=1 d=0.034562 t=2113
hao wan 	好玩	c=1 d=0.0133665 t=2113
hao xiang 	好像	c=4 d=0.381485 t=2113
he 	喝	c=3 d=2.01803 t=2113
hen 	很	c=7 d=2.39257 t=2113
hen chang 	很长	c=1 d=0.509156 t=2113
hen duo 	很多	c=2 d=0.192189 t=2113
hen rong yi 	很容易	c=1 d=0.484325 t=2113
hen zhong 	很重	c=1 d=0.0166557 t=2113
hou guo 	后果	c=0 d=0.0379083 t=2113
hou guo hen 	后果很	c=1 d=0.380983 t=2113
hou mian 	后面	c=1 d=0.965605 t=2113
hou tai 	后台	c=1 d=0.0735345 t=2113
hou xuan 	候选	c=1 d=0.631284 t=2113
hou zhui 	后缀	c=1 d=0.913931 t=2113
hua 	话	c=1 d=0.013912 t=2113
hua cai 	花菜	c=1 d=0.0253494 t=2113
huai 	坏	c=1 d=0.0569831 t=2113
huai diao 	坏掉	c=1 d=0.126186 t=2113
huan hang 	换行	c=1 d=1 t=2113
huan mu 	环牧	c=1 d=0.0197421 t=2113
huang gua 	黄瓜	c=0 d=0.00256042 t=2113
huang gua chao dan 	黄瓜炒蛋	c=1 d=0.0257325 t=2113
hui 	会	c=3 d=1.32566 t=2113
hui 	回	c=4 d=0.632231 t=2113
hui dao 	回到	c=1 d=0.323033 t=2113
hui yi 	回忆	c=1 d=0.0110536 t=2113
huo 	活	c=1 d=0.0450492 t=2113
huo dong 	活动	c=4 d=0.124421 t=2113
huo zhe 	或者	c=3 d=1.62331 t=2113
ji 	基	c=1 d=0.0258615 t=2113
ji 	级	c=2 d=0.0304992 t=2113
ji bai 	几百	c=0 d=0.00699482 t=2113
ji bai wan 	几百万	c=1 d=0.0209629 t=2113
ji bai ye 	几百页	c=1 d=0.0702988 t=2113
ji chu 	基础	c=1 d=0.0169075 t=2113
ji lei 	积累	c=1 d=0.869358 t=2113
ji suan ji 	计算机	c=4 d=0.0477617 t=2113
ji tian 	几天	c=2 d=0.702947 t=2113
ji zhang 	几张	c=1 d=0.289384 t=2113
ji zhe 	记者	c=1 d=0.0497871 t=2113
ji zhi 	机智	c=2 d=0.216341 t=2113
jia 	加	c=2 d=0.887695 t=2113
jia 	甲	c=1 d=0.548812 t=2113
jia te lin 	加特林	c=1 d=0.0523397 t=2113
jian cheng 	简称	c=1 d=0.00941925 t=2113
jian guo 	坚果	c=3 d=0.45024 t=2113
jian guo 	见过	c=1 d=0.425283 t=2113
jian guo yun 	坚果云	c=1 d=0.786628 t=2113
jian jian 	见见	c=1 d=0.255381 t=2113
jian ti 	简体	c=1 d=0.00909528 t=2113
jian zhi 	简直	c=3 d=0.2054 t=2113
jiang 	讲	c=1 d=0.145876 t=2113
jiang ya 	酱鸭	c=1 d=0.0254765 t=2113
jiang you 	酱油	c=0 d=0.00739031 t=2113
jiao 	叫	c=3 d=2.52149 t=2113
jiao ao 	骄傲	c=1 d=0.0461896 t=2113
jiao cai 	教材	c=1 d=0.0156076 t=2113
jiao cheng 	教程	c=1 d=0.814647 t=2113
jie lun 	结论	c=1 d=0.149569 t=2113
jin 	进	c=1 d=0.740818 t=2113
jin bi 	金币	c=2 d=0.239591 t=2113
jin guo 	进过	c=1 d=0.261846 t=2113
jin lai 	进来	c=1 d=0.0288686 t=2113
jin tian 	今天	c=2 d=0.372305 t=2113
jing chang 	经常	c=1 d=0.113608 t=2113
jing ji chang 	竞技场	c=1 d=0.112478 t=2113
jing ran 	竟然	c=1 d=0.0528657 t=2113
jing shen 	精神	c=1 d=0.634448 t=2113
jing tong 	精通	c=2 d=0.017046 t=2113
jiu 	就	c=25 d=4.58016 t=2113
jiu 	揪	c=1 d=0.279431 t=2113
jiu ming 	救命	c=1 d=0.0290133 t=2113
jiu shi 	就是	c=10 d=2.74342 t=2113
jiu ye 	就业	c=1 d=0.010358 t=2113
ju jue 	拒绝	c=6 d=0.451387 t=2113
ju long 	巨龙	c=6 d=2.09785 t=2113
jue se 	角色	c=1 d=0.0142642 t=2113
ka bao 	卡包	c=2 d=0.197029 t=2113
kai 	开	c=4 d=1.89833 t=2113
kai chu 	开除	c=1 d=0.193013 t=2113
kai fa 	开发	c=1 d=0.117655 t=2113
kai shi 	开始	c=1 d=0.0550232 t=2113
kai xin 	开心	c=1 d=0.767206 t=2113
kan 	看	c=11 d=0.846321 t=2113
kan bu dong 	看不懂	c=1 d=0.0144798 t=2113
kan chu lai 	看出来	c=1 d=0.017163 t=2113
kan dao 	看到	c=1 d=0.109154 t=2113
kan duo 	看多	c=1 d=0.0275983 t=2113
kan kan 	看看	c=1 d=0.683861 t=2113
kan lai 	看来	c=1 d=0.092089 t=2113
