# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	20908
#@/user_id	6a1fb6ce-71d4-4c3d-8498-654831c224b0
a 	啊	c=50 d=1.90356 t=20908
bao le 	報了	c=1 d=3.76399e-35 t=20908
bao le 	爆了	c=1 d=1.26599e-10 t=20908
bao liu 	保留	c=1 d=2.02103e-13 t=20908
bao lu 	暴露	c=1 d=7.94939e-07 t=20908
bao nuan 	保暖	c=1 d=0.000219315 t=20908
bao pai 	爆牌	c=3 d=0.553805 t=20908
bao zha 	爆炸	c=2 d=0.32628 t=20908
bao zheng 	保證	c=1 d=3.04211e-30 t=20908
bao zhuang 	包裝	c=4 d=4.85416e-18 t=20908
bao zi 	包子	c=4 d=1.09469e-26 t=20908
bei 	備	c=3 d=9.668e-33 t=20908
bei 	唄	c=6 d=0.535261 t=20908
bei 	背	c=2 d=0.0198478 t=20908
bei 	被	c=35 d=0.446275 t=20908
bei bu 	背部	c=1 d=5.52972e-31 t=20908
bei dou 	北斗	c=4 d=1.24461e-23 t=20908
bei fang 	北方	c=1 d=0.0513033 t=20908
bei fen 	備份	c=2 d=0.00056114 t=20908
bei jin 	被禁	c=1 d=1.01002e-29 t=20908
bei jing 	北京	c=9 d=0.76055 t=20908
bei ni 	被你	c=3 d=7.75312e-07 t=20908
bei po 	被迫	c=1 d=2.5977e-25 t=20908
bei shang 	悲傷	c=2 d=0.827933 t=20908
bei wo 	被窩	c=1 d=9.00631e-05 t=20908
bei zhu 	備註	c=2 d=7.10289e-24 t=20908
bei zi 	杯子	c=2 d=0.0430669 t=20908
bei zi 	被子	c=8 d=0.0103315 t=20908
bei zi 	輩子	c=4 d=1.98749e-22 t=20908
ben 	本	c=3 d=8.33539e-06 t=20908
ben di 	本地	c=2 d=0.0305009 t=20908
ben hang 	本行	c=1 d=2.4989e-10 t=20908
ben lai 	本來	c=6 d=0.101778 t=20908
beng kui 	崩潰	c=1 d=0.0277367 t=20908
bi 	必	c=1 d=2.02275e-23 t=20908
bi 	比	c=10 d=1.1087 t=20908
bi 	筆	c=1 d=5.4984e-23 t=20908
bi ci 	彼此	c=1 d=2.0729e-17 t=20908
bi ge 	逼格	c=12 d=2.25475e-05 t=20908
bi hun 	逼婚	c=1 d=0.00181803 t=20908
bi ji ben 	筆記本	c=3 d=1.44855e-24 t=20908
bi jiao 	比較	c=9 d=0.0574188 t=20908
bi li 	比例	c=3 d=1.74269e-05 t=20908
bi li chi 	比例尺	c=1 d=6.14421e-06 t=20908
bi ni 	比你	c=2 d=0.0992613 t=20908
bi ran 	必然	c=1 d=1.99609e-14 t=20908
bi ru 	比如	c=4 d=0.0170606 t=20908
bi sheng ke 	必勝客	c=1 d=8.78993e-13 t=20908
bi si 	必死	c=1 d=2.22141e-29 t=20908
bi suo 	比索	c=2 d=2.66266e-10 t=20908
bi xu 	必須	c=8 d=0.000280292 t=20908
bi xue 	鼻血	c=1 d=2.36188e-23 t=20908
bi yao 	必要	c=1 d=1.50446e-11 t=20908
bi zhe 	閉着	c=1 d=0.496585 t=20908
bi zhi 	壁紙	c=3 d=0.000459798 t=20908
bian 	變	c=6 d=4.14919e-06 t=20908
bian 	邊	c=1 d=9.25978e-08 t=20908
bian cheng 	編程	c=3 d=0.477114 t=20908
bian cheng 	變成	c=1 d=3.75235e-28 t=20908
bian di 	遍地	c=1 d=0.865022 t=20908
bian dong 	變動	c=1 d=2.03503e-06 t=20908
bian geng 	變更	c=1 d=0.010358 t=20908
bian hua 	變化	c=1 d=0.0102037 t=20908
bian ji 	編輯	c=8 d=0.298209 t=20908
bian ji lan 	編輯欄	c=1 d=2.67545e-19 t=20908
bian ji qi 	編輯器	c=6 d=1.52684e-09 t=20908
bian ji ye 	編輯頁	c=2 d=3.62291e-19 t=20908
bian liang 	變量	c=3 d=0.00240844 t=20908
bian liang fa 	變量法	c=1 d=0.00222055 t=20908
bian ma 	編碼	c=3 d=3.12011e-13 t=20908
bian shen 	變身	c=1 d=1.99956e-05 t=20908
bian tai 	變態	c=1 d=0.0160414 t=20908
bian xiang 	變相	c=1 d=1.26551e-35 t=20908
bian xiao 	變小	c=1 d=5.9021e-33 t=20908
bian yi 	編譯	c=2 d=0.421052 t=20908
bian zhong 	變種	c=2 d=7.32999e-15 t=20908
biao 	表	c=3 d=1.97937e-16 t=20908
biao ben 	標本	c=1 d=0.15259 t=20908
biao da shi 	表達式	c=11 d=0.289384 t=20908
biao dan 	表單	c=9 d=1.03426e-19 t=20908
biao ge 	表格	c=1 d=1.02654e-14 t=20908
biao han 	彪悍	c=1 d=7.78776e-30 t=20908
biao ji 	標記	c=1 d=0.000231716 t=20908
biao qian 	標籤	c=3 d=0.0910939 t=20908
biao qian lan 	標籤欄	c=1 d=0.0584257 t=20908
biao qian lan 	標籤爛	c=1 d=0.0581343 t=20908
biao qing 	表情	c=12 d=0.353455 t=20908
biao shi 	表示	c=7 d=1.56391 t=20908
biao ti 	標題	c=9 d=9.24679e-07 t=20908
biao ti lan 	標題欄	c=2 d=5.92258e-06 t=20908
biao xian 	表現	c=1 d=0.22091 t=20908
biao zhi 	標誌	c=1 d=4.26529e-06 t=20908
biao zhun 	標準	c=4 d=9.74418e-13 t=20908
biao zhun ku 	標準哭	c=1 d=4.88428e-12 t=20908
biao zhun ku 	標準庫	c=1 d=4.90876e-12 t=20908
bie 	別	c=16 d=1.01038 t=20908
bie chi 	別吃	c=1 d=1.15443e-13 t=20908
bie de 	別的	c=1 d=1.72279e-17 t=20908
bie ren 	別人	c=14 d=0.0276066 t=20908
bie shuo 	別說	c=3 d=0.913931 t=20908
bin guan 	賓館	c=1 d=5.64353e-06 t=20908
bin xi fa ni ya 	賓夕法尼亞	c=1 d=6.87874e-11 t=20908
bing 	並	c=4 d=1.22498e-05 t=20908
bing 	病	c=1 d=5.20964e-06 t=20908
bing bu 	並不	c=2 d=2.94219e-35 t=20908
bing bu shi 	並不是	c=1 d=1.28779e-05 t=20908
bing cha 	並查	c=1 d=8.94434e-12 t=20908
bing dui 	並對	c=1 d=1.42347e-07 t=20908
bing gan 	餅乾	c=1 d=9.51684e-36 t=20908
bing liang 	冰涼	c=2 d=1.12944e-21 t=20908
bing mei you 	並沒有	c=2 d=6.51285e-15 t=20908
bing qie 	並且	c=2 d=1.67825e-07 t=20908
bing xing 	並行	c=1 d=9.68568e-37 t=20908
bing xue cong ming 	冰雪聰明	c=1 d=3.05164e-08 t=20908
bo 	波	c=2 d=0.008396 t=20908
bo fang 	播放	c=2 d=1.65355e-05 t=20908
bo shi 	博士	c=3 d=2.80776e-13 t=20908
bo zi 	脖子	c=1 d=8.20823e-31 t=20908
bu 	不	c=100 d=3.84775 t=20908
bu 	布	c=1 d=5.10719e-37 t=20908
bu 	步	c=1 d=2.50018e-16 t=20908
bu 	補	c=4 d=5.75176e-10 t=20908
bu ai 	不愛	c=2 d=1.28669e-12 t=20908
bu ba 	不拔	c=1 d=7.52911e-15 t=20908
bu bao 	不保	c=0 d=7.43242e-11 t=20908
bu bao cun 	不保存	c=1 d=7.46967e-10 t=20908
bu bao kuo 	不包括	c=1 d=1.49437e-20 t=20908
bu chai 	不拆	c=1 d=6.96705e-14 t=20908
bu chao 	不吵	c=1 d=2.12133e-24 t=20908
bu cheng 	不成	c=2 d=2.01684e-18 t=20908
bu chi 	不吃	c=5 d=0.690734 t=20908
bu chi 	不遲	c=3 d=1.49748e-15 t=20908
bu chi kui 	不吃虧	c=1 d=1.19141e-31 t=20908
bu chi ou 	不吃偶	c=1 d=8.96902e-15 t=20908
bu chou 	不醜	c=1 d=0.332871 t=20908
bu chu 	不出	c=1 d=1.68633e-30 t=20908
bu chu qu 	不出去	c=0 d=1.77895e-13 t=20908
bu cou 	不湊	c=1 d=3.03642e-08 t=20908
bu cun 	不存	c=1 d=0.0203434 t=20908
bu cuo 	不錯	c=19 d=0.0477181 t=20908
bu da 	不打	c=1 d=1.29892e-18 t=20908
bu dai 	不帶	c=1 d=4.5485e-27 t=20908
bu dan 	不但	c=1 d=8.97971e-29 t=20908
bu dao 	不到	c=2 d=0.0184351 t=20908
bu deng 	不等	c=1 d=0.0259911 t=20908
bu di 	不低	c=1 d=1.32039e-05 t=20908
bu ding 	不定	c=0 d=1.07193e-24 t=20908
bu dong 	不動	c=3 d=0.000319317 t=20908
bu dong 	不懂	c=1 d=3.57189e-07 t=20908
bu dou 	不都	c=1 d=2.16639e-36 t=20908
bu dou shi 	不都是	c=1 d=0.292293 t=20908
bu dui 	不對	c=2 d=7.28276e-06 t=20908
bu dui jin 	不對勁	c=1 d=1.11951e-34 t=20908
bu duo 	不多	c=3 d=0.0162445 t=20908
bu fa 	不發	c=2 d=0.000734118 t=20908
bu fu 	不服	c=1 d=0.0115624 t=20908
bu gan 	不幹	c=2 d=5.77278e-31 t=20908
bu gan 	不敢	c=3 d=0.506946 t=20908
bu gan xing qu 	不感興趣	c=1 d=8.44096e-07 t=20908
bu gao 	不搞	c=0 d=3.14726e-19 t=20908
bu gao ji 	不搞基	c=1 d=3.16303e-18 t=20908
bu gao xiao 	不搞笑	c=1 d=5.41746e-25 t=20908
bu gei 	不給	c=3 d=0.232236 t=20908
bu gei li 	不給力	c=1 d=0.0247235 t=20908
bu gen 	不跟	c=1 d=1.16643e-17 t=20908
bu gou 	不夠	c=6 d=0.972322 t=20908
bu gou hua 	不夠花	c=1 d=9.79167e-18 t=20908
bu gou yong 	不夠用	c=2 d=4.81238e-14 t=20908
bu guan 	不管	c=2 d=6.99305e-17 t=20908
bu gui fan 	不規範	c=1 d=4.69276e-12 t=20908
bu guo 	不過	c=19 d=1.00128 t=20908
bu hao 	不好	c=16 d=1.00572 t=20908
bu hao hao 	不好好	c=1 d=0.000189713 t=20908
bu hao kan 	不好看	c=1 d=0.729789 t=20908
bu hao shuo 	不好說	c=1 d=0.00367942 t=20908
bu hui 	不會	c=22 d=0.899725 t=20908
bu hui lai 	補回來	c=2 d=0.00748391 t=20908
bu huo 	不活	c=1 d=1.47849e-12 t=20908
bu jian 	不見	c=1 d=5.75246e-25 t=20908
bu jiao 	不叫	c=1 d=5.89708e-23 t=20908
bu jin qu 	不進去	c=1 d=5.31759e-12 t=20908
bu jiu 	不就	c=2 d=1.14135e-26 t=20908
bu jiu shi 	不就是	c=1 d=3.51561e-26 t=20908
bu jue de 	不覺得	c=1 d=1.48843e-32 t=20908
bu ka 	不卡	c=1 d=4.70411e-11 t=20908
bu kai 	不開	c=0 d=1.49102e-24 t=20908
bu kai sen 	不開森	c=1 d=1.49849e-23 t=20908
bu kai xin 	不開心	c=1 d=0.451581 t=20908
bu kan 	不看	c=1 d=1.6704e-36 t=20908
bu kao lv 	不考慮	c=1 d=4.91812e-05 t=20908
bu kao pu 	不靠譜	c=1 d=1.1947e-34 t=20908
bu ke 	不可	c=1 d=3.08862e-32 t=20908
bu ku 	不哭	c=1 d=1.6782e-32 t=20908
bu kun 	不困	c=1 d=0.12493 t=20908
bu lai 	不來	c=2 d=0.00131358 t=20908
bu liao 	不了	c=2 d=5.3952e-07 t=20908
bu luo 	部落	c=1 d=0.136369 t=20908
bu luo zhu 	部落豬	c=1 d=0.127454 t=20908
bu mai 	不買	c=5 d=0.00823317 t=20908
bu men 	部門	c=18 d=0.20151 t=20908
bu meng 	不猛	c=1 d=7.90276e-26 t=20908
bu nao le 	不鬧了	c=1 d=4.2322e-32 t=20908
bu neng 	不能	c=24 d=1.79099 t=20908
bu pian yi 	不便宜	c=1 d=1.1308e-05 t=20908
bu qi 	不起	c=2 d=0.0028799 t=20908
bu qie 	不切	c=1 d=6.51395e-17 t=20908
bu qie shi ji 	不切實際	c=1 d=6.86566e-18 t=20908
bu qing 	不清	c=2 d=0.778801 t=20908
bu qing 	不輕	c=1 d=0.782705 t=20908
bu qing chu 	不清楚	c=3 d=5.56823e-30 t=20908
bu qu 	不去	c=1 d=0.0800583 t=20908
bu quan 	補全	c=5 d=1.46353e-10 t=20908
bu que ding 	不確定	c=2 d=3.70533e-06 t=20908
bu ran 	不然	c=10 d=0.0214914 t=20908
bu rang 	不讓	c=3 d=8.25386e-08 t=20908
bu ren 	不認	c=0 d=2.41904e-33 t=20908
bu ren shi 	不認失	c=1 d=1.21255e-32 t=20908
bu ren shi 	不認識	c=2 d=1.55054e-13 t=20908
bu ru 	不如	c=5 d=1.62294 t=20908
bu sha 	不殺	c=2 d=0.000592208 t=20908
bu shang 	補上	c=2 d=2.18333e-10 t=20908
bu she zhi 	不設置	c=1 d=2.54185e-34 t=20908
bu shi 	不是	c=46 d=3.91908 t=20908
bu shu 	部署	c=7 d=6.20931e-08 t=20908
bu shu fu 	不舒服	c=1 d=5.53744e-18 t=20908
bu shuai 	不帥	c=1 d=2.33155e-18 t=20908
bu shui 	不睡	c=1 d=0.00373503 t=20908
bu shui jiao 	不睡覺	c=2 d=3.19193e-20 t=20908
bu shun 	不順	c=1 d=1.38328e-23 t=20908
bu shuo 	不說	c=4 d=4.37401e-08 t=20908
bu suan 	不算	c=1 d=4.595e-29 t=20908
bu tai 	不太	c=4 d=1.17999e-07 t=20908
bu tao yan 	不討厭	c=1 d=4.01677e-35 t=20908
bu tie 	補貼	c=3 d=0.00489275 t=20908
bu tong 	不同	c=1 d=2.8044e-14 t=20908
bu tong 	不痛	c=1 d=2.28181e-29 t=20908
bu tui se 	不褪色	c=1 d=0.000112788 t=20908
bu wan 	不玩	c=2 d=1.4093e-07 t=20908
bu wei 	部位	c=1 d=2.79469e-32 t=20908
bu wen ding 	不穩定	c=1 d=1.49259e-06 t=20908
bu xi 	不息	c=1 d=0.00351752 t=20908
bu xi huan 	不喜歡	c=2 d=0.00134683 t=20908
bu xia 	不下	c=1 d=2.47311e-35 t=20908
bu xia qu 	不下去	c=3 d=1.89287e-07 t=20908
bu xiang 	不想	c=4 d=0.404542 t=20908
bu xie 	不寫	c=1 d=4.76612e-18 t=20908
bu xie 	不屑	c=1 d=3.66232e-07 t=20908
bu xin 	不信	c=1 d=4.71205e-05 t=20908
bu xing 	不幸	c=1 d=1.23452e-08 t=20908
bu xing 	不行	c=9 d=1.2719e-07 t=20908
bu xu yao 	不需要	c=4 d=7.75708e-13 t=20908
bu xue 	不學	c=1 d=0.000508015 t=20908
bu yao 	不要	c=35 d=4.13866 t=20908
bu yi ding 	不一定	c=1 d=0.0702988 t=20908
bu yi yang 	不一樣	c=3 d=6.09922e-23 t=20908
bu yong 	不用	c=20 d=1.59705 t=20908
bu yu kuai 	不愉快	c=1 d=0.00657159 t=20908
bu za 	不咋	c=1 d=0.00621991 t=20908
bu zhao 	不招	c=1 d=2.02488e-06 t=20908
bu zheng 	不正	c=0 d=1.36153e-14 t=20908
bu zheng chang 	不正常	c=2 d=4.2025e-08 t=20908
bu zhi 	不止	c=4 d=0.435264 t=20908
bu zhi dao 	不知道	c=27 d=1.51847 t=20908
bu zhu 	不住	c=2 d=0.0164078 t=20908
bu zhua 	不抓	c=1 d=1.18692e-16 t=20908
bu zhun 	不準	c=2 d=1.37947e-20 t=20908
bu zou 	不走	c=0 d=1.56826e-30 t=20908
cai 	才	c=25 d=0.672813 t=20908
cai 	猜	c=8 d=0.718924 t=20908
cai 	菜	c=11 d=0.10383 t=20908
cai cai 	猜猜	c=1 d=9.91567e-19 t=20908
cai dan 	菜單	c=3 d=2.99071e-06 t=20908
cai dan lan 	菜單欄	c=1 d=2.94618e-06 t=20908
cai dui 	猜對	c=1 d=8.68147e-14 t=20908
cai dui 	纔對	c=3 d=0.000185029 t=20908
cai hong 	彩虹	c=2 d=2.43375e-35 t=20908
cai jian 	裁剪	c=1 d=1.20257e-23 t=20908
cai liao 	材料	c=2 d=1.68233e-23 t=20908
cai neng 	才能	c=2 d=2.83751e-05 t=20908
cai wan 	猜玩	c=1 d=1.02902e-13 t=20908
cai wu bu 	財務部	c=1 d=0.0658748 t=20908
can 	慘	c=0 d=0.0516851 t=20908
can 	殘	c=1 d=0.862774 t=20908
can bu 	餐補	c=1 d=1.79774e-18 t=20908
can chuan 	殘喘	c=1 d=8.64994e-30 t=20908
can guan 	參觀	c=1 d=4.08733e-34 t=20908
can kao 	參考	c=1 d=6.77287e-05 t=20908
can lie 	慘烈	c=1 d=2.59859e-29 t=20908
can que 	殘缺	c=1 d=5.23753e-10 t=20908
can shu 	參數	c=1 d=0.000235217 t=20908
can ting 	餐廳	c=1 d=6.5195e-27 t=20908
cang ku 	倉庫	c=5 d=0.0103063 t=20908
cang tian 	蒼天	c=1 d=3.792e-34 t=20908
cao zuo 	操作	c=15 d=1.8689 t=20908
cao zuo xi tong 	操作系統	c=2 d=0.00232515 t=20908
ce bian 	側邊	c=1 d=1.48459e-31 t=20908
ce bian lan 	側邊欄	c=1 d=1.70652e-23 t=20908
ce hui 	測繪	c=1 d=0.0237541 t=20908
ce lou 	側漏	c=1 d=7.50559e-37 t=20908
ce lou 	側陋	c=1 d=7.46816e-37 t=20908
ce shi 	測試	c=2 d=8.72254e-06 t=20908
ce suo 	廁所	c=3 d=2.24915e-32 t=20908
ce wan 	測完	c=1 d=8.76276e-06 t=20908
ceng fan 	曾飯	c=1 d=1.1802e-08 t=20908
ceng fan 	蹭飯	c=1 d=1.18611e-08 t=20908
ceng jing 	曾經	c=1 d=3.16745e-05 t=20908
cha 	差	c=4 d=9.51715e-07 t=20908
cha 	插	c=7 d=0.0441572 t=20908
cha 	查	c=6 d=6.91524e-05 t=20908
cha bie 	差別	c=2 d=1.27519e-07 t=20908
cha bu dao 	查不到	c=1 d=0.442639 t=20908
cha bu duo 	差不多	c=12 d=1.6095 t=20908
cha cha 	查查	c=1 d=0.000618889 t=20908
cha dao 	查到	c=2 d=2.11979e-32 t=20908
cha dian 	差點	c=1 d=0.0227089 t=20908
cha hua 	插花	c=1 d=0.0439369 t=20908
cha jian 	插件	c=6 d=0.000555857 t=20908
cha kan 	查看	c=19 d=0.0685303 t=20908
cha kan na 	查看那	c=2 d=0.0682212 t=20908
cha li 	查理	c=1 d=8.12656e-31 t=20908
cha li yi shi 	查理一世	c=1 d=8.08603e-31 t=20908
cha ru 	插入	c=14 d=0.140204 t=20908
cha shang 	插上	c=1 d=6.17501e-06 t=20908
cha xun 	查詢	c=8 d=0.907208 t=20908
cha zhao 	查找	c=6 d=0.865022 t=20908
cha zhe 	插着	c=2 d=4.69116e-08 t=20908
chai 	拆	c=11 d=1.95064 t=20908
chai kai 	拆開	c=3 d=1.11298e-19 t=20908
chai le 	拆了	c=1 d=0.946485 t=20908
chan 	禪	c=1 d=7.12013e-05 t=20908
chan huo 	摻和	c=1 d=0.000833397 t=20908
chan pin 	產品	c=3 d=3.75503e-07 t=20908
chan ye 	產業	c=2 d=2.1915e-23 t=20908
chang 	唱	c=1 d=0.516851 t=20908
chang 	長	c=5 d=0.676235 t=20908
chang cheng 	長城	c=5 d=2.78559e-06 t=20908
chang jian 	常見	c=2 d=1.0137e-13 t=20908
chang nian 	常年	c=1 d=7.91513e-15 t=20908
chang yong 	常用	c=1 d=6.0246e-10 t=20908
chao 	吵	c=2 d=1.5868e-29 t=20908
chao 	炒	c=2 d=4.07527e-21 t=20908
chao 	超	c=14 d=1.07799 t=20908
chao cha 	超差	c=1 d=1.68868e-17 t=20908
chao feng 	嘲諷	c=1 d=3.39758e-36 t=20908
chao guo 	超過	c=1 d=1.51329e-21 t=20908
chao ji 	超級	c=12 d=9.84228e-06 t=20908
chao jia 	吵架	c=1 d=6.8846e-21 t=20908
chao piao 	鈔票	c=7 d=0.0284391 t=20908
chao pin 	超頻	c=1 d=1.64385e-24 t=20908
chao ren 	超人	c=0 d=1.75574e-35 t=20908
chao you yu 	炒魷魚	c=1 d=0.00298248 t=20908
chao zuo 	炒作	c=1 d=2.1235e-36 t=20908
che di 	徹底	c=1 d=1.60108e-08 t=20908
che dou 	車斗	c=1 d=0.0352602 t=20908
che le 	撤了	c=1 d=4.34835e-27 t=20908
che tou 	車頭	c=1 d=0.034562 t=20908
che xiao 	撤銷	c=5 d=0.00369786 t=20908
chen 	沉	c=1 d=0.927743 t=20908
chen 	陳	c=3 d=6.69956e-24 t=20908
chen feng 	塵封	c=0 d=3.85861e-34 t=20908
chen shan 	襯衫	c=0 d=4.24316e-34 t=20908
chen tuo 	襯托	c=1 d=1.64128e-35 t=20908
chen yi 	襯衣	c=2 d=9.86167e-33 t=20908
chen zhe 	趁着	c=1 d=0.790571 t=20908
cheng 	城	c=0 d=6.65708e-09 t=20908
cheng 	成	c=14 d=0.00181949 t=20908
cheng 	承	c=1 d=4.19951e-29 t=20908
cheng ben 	成本	c=1 d=0.00843808 t=20908
cheng du 	程度	c=3 d=2.27909e-15 t=20908
cheng fa 	懲罰	c=3 d=0.217621 t=20908
cheng gong 	成功	c=4 d=9.32711e-05 t=20908
cheng guo 	成果	c=5 d=8.22294e-23 t=20908
cheng hao 	稱號	c=1 d=3.02643e-28 t=20908
cheng li 	城裏	c=1 d=0.191092 t=20908
cheng wei 	成爲	c=1 d=2.56652e-30 t=20908
cheng xu 	程序	c=1 d=3.28932e-08 t=20908
cheng xu yuan 	程序員	c=5 d=1.20459 t=20908
chi 	吃	c=131 d=3.55484 t=20908
chi 	遲	c=3 d=0.543351 t=20908
chi bu 	吃不	c=0 d=0.000289433 t=20908
chi bu bao 	吃不飽	c=1 d=0.00290884 t=20908
chi bu shang 	吃不上	c=1 d=9.70579e-32 t=20908
chi chi 	吃吃	c=4 d=0.017804 t=20908
